id,name,overview,website_url,total_funded_amount,established_at,last_funded_at,funded_from_vc,is_samurai_member,source_id,stage_id,country_id
92,ピーシーフェーズ株式会社,"マーケティング支援サービスを展開。
人材育成動画プラットフォーム「shouin（ショウイン）」を提供
動画メールサービス「Vmail（ブイメール）」の提供
パーソナライズド動画生成サービス「Vpersonal（ブイパーソナル）」の提供
動画キャンペーンウィジェット「Vcampaign（ブイキャンペーン）」の提供
スマートフォンでタッチするだけでオンラインへ誘導するアプリ「スマピ」の提供
LINEチャット形式のエントリーフォームbot「LoBoT（ロボット）」の提供",http://www.pcp.co.jp/,"541,115",1998/10/28,2019/03/29,FALSE,FALSE,1,,1
93,SHOWROOM株式会社,ライブ動画ストリーミングプラットフォーム「SHOWROOM（ショールーム）」の運営、番組制作等,http://showroom.co.jp/,"3,063,808",2015/08/03,2019/11/18,TRUE,FALSE,1,2,1
94,株式会社tyotto,"コーチングによる指導で生徒の学びを引き出す大学受験専門の個別指導塾「tyotto塾」の運営。
全国の学習塾を対象にした高等部運営コミュニティ「tyotto塾Union」を運営。
「人生のポートフォリオ」を目指して自社開発しているスマートフォンアプリ「tyotto folio」を提供。（β版として学習管理機能をリリース。2019年内にアプリ内の対話ログなどを記録するポートフォリオ機能、 AIチャットボットによるリフレクション機能を追加し、正式版リリース予定）",https://tyotto.co.jp,"119,380",2016/02/04,2019/10/25,FALSE,FALSE,1,1,1
95,yup株式会社,"フリーランス向け報酬即日払いサービス「yup(ヤップ) 先払い」を提供
「スモールビジネスをエンパワーメントする世界的な金融サービスを創る」をミッションに掲げる",https://yup.jp/,"22,000",2019/02/04,2019/08/31,TRUE,FALSE,1,1,1
96,セーフィー株式会社,"セキュリティカメラの映像をクラウドにHD高画質で自動録画し、カメラをクラウドから制御したり、APIで機械学習や顔認識など最新の画像処理と連携し、多様な映像活用が可能なIoTプラットフォームサービスを提供。
・クラウド防犯カメラ・監視カメラ「Safie」
・LTE搭載クラウド防犯カメラ「safie go」
・リアルタイムで双方向通話ができるクラウド常時録画型のウェアラブルカメラ「Safie Pocket」",https://safie.link/safietimes/,"3,327,000",2014/10/23,2019/10/31,TRUE,FALSE,1,3,1
97,株式会社ネストエッグ,つみたて貯金・おつり貯金、及び毎日12時に届くクエストをクリアすると21時に貯金が実行される自動貯金サービス「finbee (フィンビー)」の開発、提供,http://nestegg.co.jp/,"499,796",2016/04/01,2019/10/30,TRUE,FALSE,1,3,1
98,GVA TECH株式会社,"スタートアップ、フリーランスのための契約リスク判定サービス「AI-CON（アイコン）」を提供。
法人登記支援サービス「AI-CON登記」を提供。
エンタープライズ向けに、それぞれの会社の法務基準に合った契約書レビューを提示する「AI-CON Pro」の開発・提供",http://gvatech.co.jp/,"358,134",2017/01/04,2019/08/22,TRUE,FALSE,1,2,1
99,株式会社アールティ,"研究用教材、ホビー製品、関連部品、クラウドロボティクス関連製品など、様々な分野でサービスロボットを開発提供
人と⼀緒に弁当を盛り付ける、弁当工場向け協働ロボット「Foodly（フードリー）」の開発
Google社のAndroid OSで動作するロボット「RIC android(リックアンドロイド)」開発",http://www.rt-net.jp/,"558,100",2005/09/12,2019/07/05,TRUE,FALSE,1,3,1
100,Seebo Interactive LTD.,"産業用IoTプラットフォームを提供。
 組織がIoTシステムを迅速かつ簡単に開発できる。エンタープライズクライアントに提供するデジタルトランスフォーメーションの戦略的コンポーネントとされている。",http://seebo.com/,"2,449,040",2012,,,,,2,3
101,SmartRent,集合住宅向けのホームオートメーションとIOTプラットフォームの構築を行う。不動産管理者は鍵、照明、サーモスタット、空き部屋、共有スペースを管理することができる。これらはモバイルアプリから簡単に操作することができる。,https://smartrent.com/,"4,619,780",2017,,,,,3,5
102,IOTAS,"IOTAS Homeアプリで多くのスマートホームデバイスを一括管理。不動産管理者は公共料金や管理コストを削減しながら、新たな顧客を増やすことができる。Google Home, Amazon Alexaにも対応。",https://www.iotashome.com/,"1,580,744",2014,,,,,2,5
103,Dwelo,物件所有者、管理者、居住者向けに、モバイルアプリで管理できる、ホームーとメーションツールを提供。スイッチ、鍵、サーモスタットなどに対応している。,https://www.dwelo.com/,"1,001,880",2014,,,,,,5
104,Remotely,"不動産管理者に、低価格かつ効率的なツールを提供。居住者にもホームオートメーションツールを提供。Moisture sencer, Motion Detecterを搭載しているのが特徴。",http://www.remotely.com/,,2014,,,,,,5
105,Vector Security,"ホームセキュリティをEssential Security, Home Automation, Connected Homeといったパッケージで販売しており、多様なデバイスも持っている。中でもHome Automationが最も人気。",https://www.vectorsecurity.com/,"50,094,000",1970,,,,,,5
106,KRU,2002年よりホームオートメーションサービスを提供。具体的にはオーディオや照明の操作、セキュリティ関連も充実している。コンドミニアム、レジデンス、一軒家いづれも対応している。,http://www.kruinc.com/,,,,,,,,11
107,Honeywell Home,様々なスマートホームデバイスを提供し、アプリで各デバイスを自在に操作,https://www.honeywellhome.com,,,,,,,,5
108,Edge,オフィス内のどこに座っても、ユーザー毎に最適な照度・空調環境を提供してくれるサービスを提供,https://edge.tech,,,,,,,,12
109,Sonic Systems,,https://www.sonicsystems.ca/ https://www.youtube.com/watch?time_continue=10&v=w0bySg2pWMc,,,,,,,,11
110,Smartron,様々なIoTデバイスを提供するOEMであり、独自のホームオートメーションサービスも提供する,https://www.smartron.com/,,2014,,,,,,13
111,Dandelion Energy,Dandelion Energyは所有者が従来の暖房用燃料から地熱暖房および冷房に切り替えることができる独自の家庭向け、及び法人向け地熱冷暖房ソリューションとを低コストの設置プロセスと共に提供する家庭用地熱企業です。Dandelion Energyのシステムは、モニタリングとスマートサーモスタットも備えています。,https://dandelionenergy.com,"3,840,540",2017,,,,,2,5
112,Mistbox,Mistboxは、細かい霧状の水を使用して空調システムのコンデンサーユニットの吸気を予冷するIoT駆動の接続デバイスです。 10分未満で住宅および商業システムにインストールでき、冷却に使用されるエネルギーの最大30％以上を節約します。 インターテックは、ラボテストを通じてミストボックスが節約する請求額を独自に検証しました。 ミストボックスは誰でもインストールできるように設計されており、ACシステムへの配線を必要としないため、既存の保証が保持されます。 ミストボックスにはSIMカードが付属しており、データ分析と操作のためにWeb対応のダッシュボードとモバイルアプリにデータを送信します。,https://mistbox.com,"166,980",2013,,,,,1,5
113,prototech,送風を伴わない輻射式冷暖房システムを開発,https://www.prototech.co.jp/products/,,,,,,,,1
114,Alea Labs,Alea Labsは、住宅およびオフィスビルの冷暖房に焦点を当てたスマートベントおよび空気データ分析会社。部屋ごとの温度制御やエネルギーの節約に寄与するサービスを提供。,https://www.alealabs.com,,,,,,,,5
115,ecoVent Systems Inc.,"家庭用室温調整システムを提供。
 スマートフォンなどから各部屋の温度を設定すると、コンセントにつけたセンサーが温度を取得し、通気口を自動で開いたり、閉じたりして空気の流れを制御する。",http://ecoventsystems.com/,"1,083,517",2012,,,,,2,5
116,Keen Home Inc,"スマートゾーニングシステムを提供。
 家をゾーンごとに分け、それぞれの最適な温度を実現する。赤ちゃん用に部屋の温度を保ったり、使用している部屋のみ冷暖房をかけることができる。通気口、センサー等をスマートフォンを通して制御する。",https://keenhome.io/,"608,096",2013,,,,,,5
117,Vayyar,"高齢者住宅の見守り、オフィス・工場の防災・労務管理、自動車
 高齢者見守りのホームIoTや監視カメラを必要としないオフィス内監視等を実現
 →ウェアラブルや個別見守りデバイスのディスラプト","https://vayyar.com/
 https://prtimes.jp/main/html/rd/p/000000002.000051774.html","20,928,160",2011,,,,,5,5
118,Mysa,"スマートサーモスタットのデバイスを提供。たった20分で設置でき、Google Home, Apple Homekit, Amazon Alexaにも対応している。",https://getmysa.com/,"545,468",2016,,,,,,11
119,ADT Security,600万人以上の顧客を抱える、北米最大規模のセキュリティ会社。セキュリティシステムをハッケージで販売しており、モバイルアプリでの操作、ビデオによる遠隔監視ができる。,https://www.adt.com/compare,,1874,,,,,,5
120,Signify,モバイルアプリで操作できるスマート照明で、日常の多様なシーンに最適な明るさに対応。例えば元気を出す時間、集中する時間、リラックス、寝る前など。センサーを用いて、帰宅時に自動で点灯もできる。,https://www2.meethue.com/en-us/philips-hue-benefits,,1891,,,,,8,12
121,FrontPoint,屋外カメラは野生動物の侵入などを察知。また、映像は全てバックアップをとっている。,https://www.frontpointsecurity.com/,,2007,,,,,,5
122,Ecobee,スマートサーモスタットを提供,https://www.ecobee.com,"16,631,208",2007,,,,,4,5
123,Cocoon,"ホームセキュリティを提供。
 1台で家全体の異常な音を感知し、アラートを配信する。センサー、ハブ等の追加設置は不要。家を引越しても学習機能により、セキュリティを徐々に変更させる。",https://cocoon.life,"790,372",2014,,,,,,14
124,Vivint,"モバイルアプリ、音声デバイスから電源の切り替えができる。GoogleHome, Alexaと連動させて利用している人が多い。",https://www.vivint.com/homepage?opid=209645,,1999,,,,,,5
125,Arlo Pro2,屋内外で利用できるセキュリティカメラ。高い防水性能で大雨にも耐える。,https://www.arlo.com/jp/products/arlo-pro-2/default.aspx,,,,,,,,1
126,Ring,スマートフォンからドアベルの対応ができる。具体的にはカメラからの映像の確認、訪問者との通話。家のどこにいても、もしくは家にいなくても対応できる便利さと安心を兼ね備えている,https://ring.com/,,2012,,,,,5,5
127,Petcube,ペットとをインターネットに接続し、機械学習させる。モニタリングをスマホから確認でき、スワイプで餌を投げ与えることができる。GoogleHomeとAlexaのセンサーが組み込まれており簡単に連携できる,https://petcube.com/,"1,569,612",2012,,,,,,5
128,Mui,"クラウドに接続された「木製」のIOTデバイス。時計、天気表示、ヴォイスレコード、サーモスタット、照明操作として使用できる。IFFFT対応。Ring, Nestなど対応。Googleカレンダー連携。androidOS搭載。",https://mui.jp/#jp,"280,750",2017,,,,,1,5
129,Simplehuman,日々の生活をシンプルに、快適にすることを目指している。センサーミラーは快適な明るさ、再度のミラーでメイクアップができる。縁には自然光に近い光を発するライトが搭載されている。持ち運びが楽なコンパクトサイズ。,https://www.simplehuman.com/jp/,,2000,,,,,,5
130,KOHLER,モバイルアプリで便座の温度、ライトの明るさを調整できる,https://www.us.kohler.com/us/smarthome/content/purewarmth.htm,,1873,,,,,,5
131,Ninjalock,スマートキーをテンキーに変更する後付けカバーがある,https://www.ninjalock.me/,"1,601,768",2014,,,,,3,1
132,TiNK,帰宅でスマホ通知。開錠、施錠履歴も閲覧できる。メルカリ、APAMANなど提携も積極的,https://tinklock.com/,"508,546",2015,,,,,3,1
133,365 plus,リモート施錠管理機能でドアの開錠や施錠だけでなく、ドアの開閉状態も確認可能,https://connected-design.jp/business/,,,,,,,,1
134,セーフィー株式会社,*防犯カメラ形状(なのでドア掛け版を開発してほしい)・クラウドで動画の撮影・録画,https://safie.link,"3,327,000（推測）",2014,,,,,3,1
135,NetVue,設置型ベル・AIドアマン・24時間撮影・AIが訪問者に自動対応,https://www.netvue.com/doorbell/belle/,,,,,,,,1
136,株式会社サイホープロパティーズ(JAPAN BRINNO),ドアスコープにカメラを取り付け、動き・振動に反応し撮影開始・工事不要,http://www.tv-door.com/magrex/gc1854.html,,,,,,,,1
137,EQUES,ドアスコープにカメラを取り付け、どこにいても来訪者をスマホでチェック・カメラ付き玄関ベル・人感センサーの設定可能,http://brinno-japan.com/shc500/,,,,,,,,1
138,株式会社ハチたま,"ペットヘルスケアIoTサービス「hachi tama（ハチタマ）」の提供。
 ねこIoTトイレ「TOLETTA（トレッタ）」の開発。
 ねこの医・食・住を網羅したオウンドメディア「toletta mag.」を提供。",https://toletta.jp,"330,988（推測）",2015,,,,,1,1
139,株式会社イデアクエストイノベーション,"非接触・無拘束ベッド見守りシステム「OWLSIGHT（アウルサイト）」を開発・販売。
 トイレ見守り装置、成人用非接触呼吸情報収集・分析装置、光学的喉頭器官運動分析装置等を開発中。",http://www.ideaquest4u.com,"8,880",2017,,,,,,1
140,KAMARQ,"サウンドテーブルを提供。
 スマートフォンから好きな音楽を流したり、外の天気に応じた環境音を奏でたりできるスピーカー内蔵型テーブル。",https://kamarqgroup.com/ja/,"7億5,000万円",2014,,,,,,15
141,4moms,幼児向けスマートベビーチェア等を提供,https://www.4moms.com/,"6,633,780",2005,,,,,,5
142,Rachio Inc.,"インテリジェントスプリンクラーコントローラーを提供。
 スマートフォンのアプリから庭への散水をコントロールできる。植生、日差し、傾斜などから場所別にカスタマイズし、気象データを取得して庭に必要な水量を判断することができる。",http://rachio.com/,"2,266,541",2012,,,,,3,5
143,Tado GmbH,"スマートサーモスタット、スマートA/Cコントローラーを提供。
 暖房または冷房をスマートフォンから管理、または自動管理できるようにする。天気予報を利用しての制御も可能。窓が開いているか、人がいないかの検知を使った自動制御なども行える。",http://tado.com/,,2016,,,,,1,16
144,Cielo WiGle Inc.,"スマートWi-Fi A/Cコントローラーを提供。
 スマートフォンからいつでもどこでもエアコンの管理が可能。スマートフォンが定義したエリアから離れるとエアコンを自動でオフにしたり、外出先からエアコンを手動でオンにしたりできる。また、室温を設定しておくと、自動でエアコンが制御される。",http://cielowigle.com/,,2014,,,,,2,5
145,"Radiator Labs, Inc.","既存のラジエーターの上に設置できるスマート断熱カバーを提供。
 アパートなどのセントラルヒーティングの建物の部屋に設置することで、ボイラーによる暖房費を削減することができる。室温が設定値を下回ると断熱カバーのファンがオンになって暖かい空気を循環させる。また、設定値になるとオフになって過熱を防ぐ。",http://radiatorlabs.com/,"353,801",2011,,,,,,5
146,"Flo Technologies, Inc.","スマート漏水検知器を提供。
 漏水を検知すると、リアルタイムでスマートフォンに通知される。大きな水漏れの場合は、自動で水道管を閉めるか、アプリ経由でリモートで閉めることができる。また、デバイスごとの水の使用量を追跡することもできる。",http://meetflo.com/,"4,345,125",2015,,,,,3,5
147,ConnectedYard Inc.,"プール＆スパ用スマートモニター「pHin」を提供。
 プールなどの水の化学的性質、温度を1週間に1000回以上測定する。水質のケアが必要な場合はアラートが通知される。また、追加で必要な化学薬品の量を判断できる。",http://phin.co/,"1,017,179",2014,,,,,2,5
148,BuildScience,ビル内の機器・セキュリティ等を総合的にモニタリングするサービスを提供,http://buildscience.com/,"13,267",2014,,,,,1,5
149,"Starry, Inc.",ラジオ塔や高層ビルに取り付けたレシーバーから都市全体にインターネットを送信する。受信するためには、ポイントを建物に設置し、各部屋のルーターに接続する。,http://starry.com/,"14,373,190",2014,,,,,4,5
150,Sonos Inc.,"スピーカーを提供。
 ホームシアター用やスタジオ並みのステレオスピーカーなどをアプリで5台までカスタムチューニングできる。すべてのスピーカーをグループ化して同時にストリーミングサービスの音楽を流すことなどができる。",http://sonos.com/,"50,328,277",2002,,,,,,5
151,"soofa, Inc.","屋外用電子ペーパーディスプレイを提供。
 誰もが見ることができ、誰でも使用できる屋外の画面で、コミュニティを接続するローカルニュースフィードを提供している。企業の広告やアーティストの作品紹介、都市と市民のコミュニケーションツールとして使用できる。",http://www.soofa.co/,"353,801",2014,,,,,1,5
152,Innit LLC,"スマートキッチンプラットフォームを提供。
 アプリにアレルギーなどの情報を入力すると、食品のバーコードをスキャンするだけで最適な食品かスコア表示される。別のアプリでは、スマートフォンで最適な食事の計画、購入、調理方法がガイドされ、スマート調理家電に内容が送信される。",http://innit.com/,"4,754,209",2013,,,,,,5
153,June Life Inc.,"スマートオーブンを提供。
 200以上の自動料理プログラムがあり、オーブン内部のカメラが自動的に食べ物を認識し、温度計と連携して料理する。スマートフォンを使用して、オーブンを制御でき、トースター、フライヤーなど多機能に使える。",http://juneoven.com/,"3,261,608",2013,,,,,3,5
154,"Heatworks Technologies, Inc.","発熱体を使用しない湯沸し器や食器洗い機を提供。
 グラファイト電極を使用したOhmic Array Technologyでお湯を沸かす。メンテンナンス不要で長寿命、エネルギー効率が高く、IoT接続可能。",http://myheatworks.com/,"1,138,798",2006,,,,,,5
155,UZER,"食品バーコードスキャナー「Eugene」を提供。
 製品のバーコードをスキャンすると、栄養素、健康への影響、リサイクル方法などの情報を提供する。スキャンした製品を買い物リストに追加し、オンラインで小売業者の買い物かごに入れることができる。",https://www.uzer.eu/,"43,461",2014,,,,,,17
156,"Harry's, Inc.","メンズパーソナルケア製品のサブスクリプションサービスを提供。
 カミソリなどのシェービングキットを定期的に配達するサービス。スターターキットでカミソリを購入し、その後は替え刃、シェービングジェルなどの消耗品を定期購入する。",http://harrys.com/,,2012,,,,,4,5
157,DOLLOAR SHAVE CLUB,"メンズパーソナルケア製品のサブスクリプションサービスを提供。
 ひげ剃りセット、シャワーセット、オーラルセットなどがあり、定期的に補充アイテムを配達するサービス。セット内のアイテムを毎回増減できる。",https://www.dollarshaveclub.com/,,2011,,,,,4,5
158,Petcube,ペットとをインターネットに接続し、機械学習させる。モニタリングをスマホから確認でき、スワイプで餌を投げ与えることができる。GoogleHomeとAlexaのセンサーが組み込まれており簡単に連携できる,https://petcube.com/,"1,528,722",2012,,,,,,5
159,Cleanly Inc,"オンデマンドランドリーサービスを提供。
 サブスクリプションもしくは都度使用が可能なランドリー/ドライクリーニングサービス。都度使用の場合は、アプリから申し込むと30分ほどでコンシェルジュが回収し、24時間後にはきれいにされた洋服が配送される。",http://cleanly.com/,"791,466",2013,,,,,2,5
160,"Rinse, Inc.","スマートスケジューリングランドリーサービスを提供。
 サブスクリプションもしくは都度使用が可能なランドリー/ドライクリーニングサービス。アプリから洗剤の種類や柔軟剤の設定が可能。回収から配送までは3～4日かかる。",http://rinse.com/,"2,547,870",2013,,,,,3,5
161,FlyCleaners,"オンデマンドランドリーサービスを提供。
 ランドリー/ドライクリーニングサービス。アプリから申し込むと宅配業者が回収し、パートナーのクリーニング店できれいにされた洋服が配送される。アプリから柔軟剤、漂白剤など洗濯の好みを設定が可能。",http://flycleaners.com/,"216,840",2013,,,,,1,5
162,Breezi,Breeziは、HVACシステムやその他の機器の状態を追跡するための接続デバイスとソフトウェアを開発しています。,https://breezi.io,,2016,,,,,,5
163,Bitfinder Inc.,"空気モニター「Awair」を提供。
 空気中の見えない細かいホコリや化学物質、温度、湿度、二酸化炭素をモニタリングし、スコア表示する。他のスマートデバイスと連携することで、空気を自動的に清潔にすることもできる。",https://jp.getawair.com/,,,,,,,,5